City,State,CBSA code,2001,2002,2003,2004,2005,2006,2007,2008 millions,2009 millions,2010 millions,2011 millions,2012 millions,2013 millions,2009 percent change,2010 percent change,2011 percent change,2012 percent change,2013 percent change,percent change rank 2013
Daphne-Fairhope-Foley,AL,19300,3318,3522,3728,4176,4495,4875,5239,5629,5512,5557,5588,5678,5909,-2.1,0.8,0.6,1.6,4.1,51
Davenport-Moline-Rock Island,IA-IL,19340,12118,12746,13378,14572,15384,16022,16715,17485,16859,17493,17921,18023,18198,-3.6,3.8,2.4,0.6,1,216
Dayton,OH,19380,29678,30720,31421,32687,33840,35175,35196,35643,33234,33907,34852,35528,35216,-6.8,2,2.8,1.9,-0.9,335
Decatur,AL,19460,3641,3636,3908,4363,4437,4695,4882,5055,4866,4965,4824,5034,5063,-3.7,2,-2.8,4.3,0.6,252
Decatur,IL,19500,4327,4186,4418,4757,5021,5169,5454,5987,5600,5626,5714,5597,5511,-6.5,0.5,1.6,-2.1,-1.5,355
Deltona-Daytona Beach-Ormond Beach,FL,19660,10357,10722,11353,12183,13085,13909,14454,14095,13204,13181,12716,12989,13085,-6.3,-0.2,-3.5,2.1,0.7,235
Denver-Aurora-Lakewood,CO,19740,110759,114278,117737,123315,134503,140973,146792,151500,148993,151419,153886,159284,166150,-1.7,1.6,1.6,3.5,4.3,47
Des Moines-West Des Moines,IA,19780,24408,25668,28116,31412,34357,34631,38824,36342,35318,36185,36926,38778,39714,-2.8,2.5,2,5,2.4,128
Detroit-Warren-Dearborn,MI,19820,192580,197639,204062,205592,213014,210462,213454,209948,187124,198770,206167,210491,213258,-10.9,6.2,3.7,2.1,1.3,198
Dothan,AL,20020,3264,3554,3752,4053,4344,4503,4555,4552,4389,4505,4427,4505,4583,-3.6,2.7,-1.7,1.8,1.7,174
Dover,DE,20100,4134,4395,4605,5088,5297,5575,5835,5979,6343,6044,5833,5960,6033,6.1,-4.7,-3.5,2.2,1.2,203
Dubuque,IA,20220,2966,3171,3318,3700,3921,4078,4210,4310,4148,4429,4463,4678,4624,-3.8,6.8,0.8,4.8,-1.2,343
Duluth,MN-WI,20260,7340,7888,8212,8773,9139,9398,9644,10179,9525,10331,10858,10575,10928,-6.4,8.5,5.1,-2.6,3.3,77
Durham-Chapel Hill,NC,20500,22359,23909,25478,25953,27700,32956,35520,37897,38700,39914,38563,39395,39530,2.1,3.1,-3.4,2.2,0.3,268
East Stroudsburg,PA,20700,3576,3787,3857,4207,4580,4903,5266,5644,5520,5509,5191,5144,5035,-2.2,-0.2,-5.8,-0.9,-2.1,361
Eau Claire,WI,20740,4361,4674,4942,5255,5749,5960,6104,6205,6167,6406,6421,6603,6621,-0.6,3.9,0.2,2.8,0.3,271
El Centro,CA,20940,2990,3446,3535,3673,3917,4235,4458,4707,4788,4651,4802,4744,4835,1.7,-2.9,3.2,-1.2,1.9,161
Elizabethtown-Fort Knox,KY,21060,18483,19450,19882,20362,21245,23464,24572,4733,4686,5357,5600,5437,5458,-1,14.3,4.5,-2.9,0.4,261
Elkhart-Goshen,IN,21140,3332,3470,3755,4021,4181,4487,4471,10162,7842,10279,10364,11250,11610,-22.8,31.1,0.8,8.5,3.2,87
Elmira,NY,21300,7791,8450,9345,9892,10266,10567,10977,2982,2882,3060,3117,3083,2999,-3.4,6.2,1.9,-1.1,-2.7,368
El Paso,TX,21340,2256,2267,2324,2436,2621,2666,2747,24213,24156,24479,24589,25415,25543,-0.2,1.3,0.4,3.4,0.5,257
Erie,PA,21500,7780,7676,7857,8418,8894,9273,9642,10165,9515,9486,9828,9807,9825,-6.4,-0.3,3.6,-0.2,0.2,279
Eugene,OR,21660,8607,8924,9357,10253,10725,11402,12022,12680,11452,11556,11895,12106,12382,-9.7,0.9,2.9,1.8,2.3,137
Evansville,IN-KY,21780,11496,12165,12604,13151,13413,14047,14414,15396,15066,15493,15495,15319,15101,-2.1,2.8,0,-1.1,-1.4,353
Fairbanks,AK,21820,3331,3451,3770,4043,4354,4868,5172,5425,5082,5054,5195,5198,5027,-6.3,-0.6,2.8,0.1,-3.3,376
Fargo,ND-MN,22020,6805,7335,7768,8305,8689,9207,9662,10634,10589,11296,12192,12961,13376,-0.4,6.7,7.9,6.3,3.2,84
Farmington,NM,22140,3768,3632,4093,4640,5363,5887,6329,5875,6020,5378,5629,5608,5613,2.5,-10.7,4.7,-0.4,0.1,285
Fayetteville,NC,22180,9631,10183,10892,11490,12679,13414,14358,15643,16369,16681,16619,16497,16182,4.6,1.9,-0.4,-0.7,-1.9,358
Fayetteville-Springdale-Rogers,AR-MO,22220,11050,12040,13324,14954,16377,17445,17660,19206,18359,20129,21005,21398,22593,-4.4,9.6,4.4,1.9,5.6,26
Flagstaff,AZ,22380,3021,3219,3438,3650,3968,4426,4952,5090,4787,4828,4753,4828,4930,-5.9,0.8,-1.5,1.6,2.1,149
Flint,MI,22420,12339,12891,13280,13227,13122,13041,12698,12131,11080,11630,11808,11796,11952,-8.7,5,1.5,-0.1,1.3,197
Florence,SC,22500,5618,5758,6023,6189,6481,6861,7194,7340,7003,6896,6979,7141,7369,-4.6,-1.5,1.2,2.3,3.2,88
Florence-Muscle Shoals,AL,22520,2827,2881,3056,3313,3536,3753,3834,3899,3890,4014,4009,4096,4255,-0.2,3.2,-0.1,2.2,3.9,58
Fond du Lac,WI,22540,3028,3029,3180,3383,3516,3668,3784,3924,3613,3692,3796,3858,3951,-7.9,2.2,2.8,1.6,2.4,129
Fort Collins,CO,22660,8421,9080,9212,9564,10040,10461,10987,11381,11104,11544,11837,12200,12551,-2.4,4,2.5,3.1,2.9,101
Fort Smith,AR-OK,22900,6800,7061,7545,8041,8876,9623,9436,9753,9187,9593,9546,9605,9776,-5.8,4.4,-0.5,0.6,1.8,169
Fort Wayne,IN,23060,14456,14769,15166,15602,16259,17100,17650,17641,16653,17774,18040,18443,18571,-5.6,6.7,1.5,2.2,0.7,240
Fresno,CA,23420,20504,22482,24209,25888,27264,29096,30147,30757,30782,31000,31942,32074,33165,0.1,0.7,3,0.4,3.4,72
Gadsden,AL,23460,2003,2086,2165,2305,2408,2480,2501,2617,2546,2578,2638,2599,2518,-2.7,1.3,2.4,-1.5,-3.1,372
Gainesville,FL,23540,6674,6942,7281,8249,8705,9282,10037,10506,10288,10418,10276,10355,10431,-2.1,1.3,-1.4,0.8,0.7,237
Gainesville,GA,23580,5225,5211,5319,5567,6085,6224,6410,6701,6418,6540,6907,6840,7100,-4.2,1.9,5.6,-1,3.8,60
Gettysburg,PA,23900,1869,1953,2114,2207,2384,2574,2663,2738,2664,2585,2520,2570,2626,-2.7,-3,-2.5,2,2.2,143
Glens Falls,NY,24020,2837,2990,3143,3410,3602,3743,3803,4038,4037,4129,4138,4148,4018,0,2.3,0.2,0.3,-3.1,373
Goldsboro,NC,24140,2945,2981,3045,3290,3444,3691,3772,3874,3961,3957,3915,3940,3930,2.3,-0.1,-1.1,0.6,-0.3,309
Grand Forks,ND-MN,24220,2625,2751,3049,3099,3212,3501,3656,3945,3821,3924,3850,4214,4326,-3.1,2.7,-1.9,9.5,2.6,110
Grand Island,NE,24260,2121,2237,2411,2537,2745,2934,3114,3291,3347,3412,3546,3583,3707,1.7,1.9,3.9,1.1,3.4,69
Grand Junction,CO,24300,2976,3165,3296,3516,3870,4274,4815,5384,4937,4731,4805,4872,4830,-8.3,-4.2,1.6,1.4,-0.9,332
Grand Rapids-Wyoming,MI,24340,35141,36863,38062,39559,41211,42043,41713,41959,39226,40814,41971,43521,45221,-6.5,4,2.8,3.7,3.9,57
Grants Pass,OR,24420,1296,1375,1468,1612,1702,1828,1816,1843,1778,1743,1750,1782,1780,-3.5,-2,0.4,1.8,-0.1,296
Great Falls,MT,24500,2053,2102,2227,2384,2479,2689,2832,2942,2942,2979,2978,2982,2946,0,1.2,0,0.1,-1.2,344
